                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     82,                0.42006,                0.43484,                0.26605,                0.82311,                  0.949,                      1,                0.99262,                0.93271,                0.99627,                      1,                  0.995,                0.82985,                0.43231,                0.46431,                 0.2484,                0.81211,              0.0010069,              0.0010069,              0.0010069
                     83,                 0.4083,                0.41942,                0.26337,                0.82933,                0.97344,                0.99655,                0.99375,                0.93922,                0.99746,                      1,                  0.995,                0.82138,                0.41855,                0.53889,                0.24781,                 0.8071,             0.00099862,             0.00099862,             0.00099862
                     84,                0.41553,                0.45126,                0.26546,                0.81793,                0.99822,                      1,                  0.995,                0.92945,                0.99822,                      1,                  0.995,                0.80493,                0.46958,                0.51791,                 0.2652,                0.81606,             0.00099036,             0.00099036,             0.00099036
                     85,                0.43048,                0.43673,                0.27078,                 0.8252,                0.99804,                      1,                  0.995,                0.94716,                0.99804,                      1,                  0.995,                 0.8241,                0.43378,                0.51666,                0.25059,                0.81209,             0.00098211,             0.00098211,             0.00098211
                     86,                 0.4177,                0.42739,                 0.2623,                0.82596,                0.99828,                      1,                  0.995,                0.94297,                0.99828,                      1,                  0.995,                0.82042,                0.46133,                0.53884,                0.26246,                0.82033,             0.00097386,             0.00097386,             0.00097386
                     87,                0.42086,                0.43891,                0.26769,                0.83003,                0.99719,                      1,                  0.995,                0.93867,                0.99719,                      1,                  0.995,                0.83381,                0.42026,                 0.5211,                0.25145,                0.81113,             0.00096561,             0.00096561,             0.00096561
                     88,                0.41331,                0.42538,                0.25944,                0.81976,                0.99339,                      1,                  0.995,                0.94415,                0.99339,                      1,                  0.995,                0.82637,                0.42224,                 0.5088,                0.25599,                0.81089,             0.00095736,             0.00095736,             0.00095736
                     89,                0.40368,                 0.4314,                0.25872,                0.82565,                0.99661,                      1,                  0.995,                 0.9487,                0.99661,                      1,                  0.995,                0.83076,                0.43013,                0.58719,                0.25843,                 0.8123,             0.00094911,             0.00094911,             0.00094911
                     90,                0.41482,                0.44789,                0.26064,                0.82253,                 0.9808,                0.99955,                  0.995,                0.94158,                 0.9808,                0.99955,                  0.995,                0.83345,                0.41775,                0.45248,                0.25413,                0.80974,             0.00094085,             0.00094085,             0.00094085
                     91,                0.40349,                 0.4398,                0.26213,                 0.8229,                 0.9984,                      1,                  0.995,                0.95848,                 0.9984,                      1,                  0.995,                0.82904,                0.40996,                0.51822,                0.24419,                 0.8066,              0.0009326,              0.0009326,              0.0009326
                     92,                0.41467,                0.46381,                0.25501,                0.82624,                0.99813,                      1,                  0.995,                0.95535,                0.99813,                      1,                  0.995,                0.84365,                0.40562,                0.45019,                0.24264,                0.80578,             0.00092435,             0.00092435,             0.00092435
                     93,                 0.4015,                0.41546,                0.25019,                0.81736,                0.99724,                      1,                  0.995,                0.95442,                0.99724,                      1,                  0.995,                  0.836,                0.44257,                0.55379,                0.24393,                0.81138,              0.0009161,              0.0009161,              0.0009161
                     94,                0.40391,                0.43249,                0.24866,                 0.8176,                0.99611,                      1,                  0.995,                0.93706,                0.99611,                      1,                  0.995,                0.84939,                0.41517,                0.45303,                0.23726,                0.80727,             0.00090785,             0.00090785,             0.00090785
                     95,                0.42574,                0.45022,                0.26251,                0.82809,                0.99664,                      1,                  0.995,                 0.9388,                0.99664,                      1,                  0.995,                 0.8121,                0.49789,                0.62902,                0.26075,                0.81985,              0.0008996,              0.0008996,              0.0008996
                     96,                0.41376,                0.44364,                 0.2587,                0.82122,                0.99682,                      1,                  0.995,                0.95149,                0.99682,                      1,                  0.995,                 0.8586,                0.40715,                0.45826,                0.23754,                0.80418,             0.00089134,             0.00089134,             0.00089134
                     97,                0.40363,                0.43273,                0.25266,                0.81876,                0.99665,                      1,                  0.995,                0.94651,                0.99665,                      1,                  0.995,                0.83602,                0.44103,                0.54457,                0.24372,                0.81104,             0.00088309,             0.00088309,             0.00088309
                     98,                0.40857,                0.42191,                0.25119,                0.81894,                0.99413,                      1,                  0.995,                0.94923,                0.99413,                      1,                  0.995,                0.84096,                0.40929,                0.48398,                0.23312,                0.80421,             0.00087484,             0.00087484,             0.00087484
                     99,                0.39089,                0.40808,                0.24754,                0.81652,                0.99673,                      1,                  0.995,                0.95613,                0.99673,                      1,                  0.995,                0.83968,                0.40134,                0.49883,                0.23476,                0.79975,             0.00086659,             0.00086659,             0.00086659
                    100,                0.39054,                0.41233,                0.24796,                0.82386,                0.99798,                      1,                  0.995,                0.95923,                0.99798,                      1,                  0.995,                0.83747,                0.40462,                0.50575,                0.23237,                0.80593,             0.00085834,             0.00085834,             0.00085834
                    101,                0.38784,                0.40941,                0.24975,                0.81648,                0.99772,                      1,                  0.995,                0.94769,                0.99772,                      1,                  0.995,                0.83457,                0.43631,                0.53331,                0.24047,                0.81278,             0.00085009,             0.00085009,             0.00085009
                    102,                0.39004,                 0.4208,                0.24619,                0.82252,                0.99701,                      1,                  0.995,                0.95109,                0.99701,                      1,                  0.995,                0.82459,                0.41969,                0.55277,                 0.2372,                0.80776,             0.00084184,             0.00084184,             0.00084184
                    103,                0.38594,                0.41577,                0.24866,                0.82012,                0.99665,                      1,                  0.995,                0.95061,                0.99665,                      1,                  0.995,                0.82973,                0.41487,                0.52917,                0.23246,                0.80719,             0.00083358,             0.00083358,             0.00083358
                    104,                0.37571,                0.40608,                0.24097,                0.81375,                0.99741,                      1,                  0.995,                0.95063,                0.99741,                      1,                  0.995,                0.81051,                0.40308,                0.61259,                0.23648,                0.80503,             0.00082533,             0.00082533,             0.00082533
                    105,                0.38333,                0.39402,                0.24166,                 0.8187,                0.99749,                0.99997,                  0.995,                0.94565,                0.99749,                0.99997,                  0.995,                0.81174,                0.43213,                0.57206,                0.24167,                0.80737,             0.00081708,             0.00081708,             0.00081708
                    106,                0.38602,                0.39144,                0.24481,                0.81534,                0.99766,                      1,                  0.995,                0.94097,                0.99766,                      1,                  0.995,                0.82621,                0.40801,                 0.5435,                0.23103,                0.80456,             0.00080883,             0.00080883,             0.00080883
                    107,                0.38339,                 0.3953,                0.24499,                0.82154,                0.99673,                      1,                  0.995,                0.94794,                0.99673,                      1,                  0.995,                0.83845,                0.42236,                0.48628,                0.23944,                0.81069,             0.00080058,             0.00080058,             0.00080058
                    108,                0.38616,                0.41977,                0.24555,                0.81688,                0.99747,                      1,                  0.995,                0.94165,                0.99747,                      1,                  0.995,                0.83863,                 0.4066,                 0.4807,                0.23534,                0.80508,             0.00079233,             0.00079233,             0.00079233
                    109,                0.38297,                0.40252,                0.24299,                0.82261,                0.99708,                      1,                  0.995,                  0.957,                0.99708,                      1,                  0.995,                0.84861,                0.39454,                0.45073,                0.23196,                0.80238,             0.00078407,             0.00078407,             0.00078407
                    110,                0.38167,                0.41613,                0.24981,                0.82116,                0.99803,                      1,                  0.995,                0.95247,                0.99803,                      1,                  0.995,                0.84718,                0.41622,                0.45586,                0.23843,                0.80614,             0.00077582,             0.00077582,             0.00077582
